block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
628;lbm;lbm_phys.c:45-217;47.58;54.75;54.75;54.75;54.75;0;1;
654;lbm;lbm_phys.c:232-239,lbm_struct.h:130-130;21.33;24.54;24.54;24.54;24.54;0;1;
664;lbm;lbm_phys.c:235-239,lbm_struct.h:130-130;3.99;4.59;4.59;4.59;4.59;0;1;
667;lbm;lbm_phys.c:235-239,lbm_struct.h:130-130;3.85;4.43;4.43;4.43;4.43;0;1;
668;lbm;lbm_phys.c:228-239,lbm_struct.h:130-130;3.75;4.31;4.31;4.31;4.31;0;1;
665;lbm;lbm_phys.c:238-239,lbm_struct.h:130-130;3.65;4.19;4.19;4.19;4.19;0;1;
662;lbm;lbm_phys.c:235-239,lbm_struct.h:130-130;3.61;4.15;4.15;4.15;4.15;0;1;
661;lbm;lbm_phys.c:238-239,lbm_struct.h:130-130;2.84;3.26;3.26;3.26;3.26;0;1;
655;lbm;lbm_phys.c:235-239,lbm_struct.h:130-130;2.08;2.39;2.39;2.39;2.39;0;1;
600;lbm;lbm_phys.c:191-191,lbm_struct.h:148-148;1.17;1.34;1.34;1.34;1.34;0;1;
658;lbm;lbm_phys.c:238-239,lbm_struct.h:130-130;1.11;1.27;1.27;1.27;1.27;0;1;
630;lbm;lbm_phys.c:53-53,lbm_struct.h:130-130;0.7;0.8;0.8;0.8;0.8;0;1;
590;lbm;lbm_phys.c:131-135;0.58;0.67;0.67;0.67;0.67;0;1;
637;lbm;lbm_phys.c:228-235;0.47;0.54;0.54;0.54;0.54;0;1;
577;lbm;lbm_phys.c:45-99;0.31;0.36;0.36;0.36;0.36;0;1;
606;lbm;lbm_phys.c:190-190;0.24;0.28;0.28;0.28;0.28;0;1;
657;lbm;lbm_phys.c:232-235;0.22;0.25;0.25;0.25;0.25;0;1;
707;lbm;main.c:89-95;0.22;0.25;0.25;0.25;0.25;0;1;
659;lbm;lbm_phys.c:236-236;0.18;0.2;0.2;0.2;0.2;0;1;
666;lbm;lbm_phys.c:236-236;0.17;0.2;0.2;0.2;0.2;0;1;
643;lbm;lbm_phys.c:236-236;0.17;0.2;0.2;0.2;0.2;0;1;
663;lbm;lbm_phys.c:235-235;0.15;0.17;0.17;0.17;0.17;0;1;
573;lbm;lbm_phys.c:75-81;0.15;0.17;0.17;0.17;0.17;0;1;
506;lbm;lbm_struct.h:148-148,lbm_init.c:52-58;0.15;0.17;0.17;0.17;0.17;0;1;
641;lbm;lbm_phys.c:236-236;0.13;0.15;0.15;0.15;0.15;0;1;
652;lbm;lbm_phys.c:236-236;0.13;0.14;0.14;0.14;0.14;0;1;
604;lbm;lbm_phys.c:191-191;0.13;0.14;0.14;0.14;0.14;0;1;
656;lbm;lbm_phys.c:235-235;0.12;0.14;0.14;0.14;0.14;0;1;
645;lbm;lbm_phys.c:236-236;0.11;0.13;0.13;0.13;0.13;0;1;
609;lbm;lbm_phys.c:191-191;0.11;0.12;0.12;0.12;0.12;0;1;
660;lbm;lbm_phys.c:235-235;0.1;0.11;0.11;0.11;0.11;0;1;
505;lbm;lbm_struct.h:130-130,lbm_init.c:52-56;0.1;0.11;0.11;0.11;0.11;0;1;
624;lbm;lbm_phys.c:216-216;0.06;0.07;0.07;0.07;0.07;0;1;
562;lbm;lbm_phys.c:42-49;0.05;0.05;0.05;0.05;0.05;0;1;
504;lbm;lbm_init.c:54-54;0.04;0.05;0.05;0.05;0.05;0;1;
605;lbm;lbm_phys.c:122-128,lbm_struct.h:130-130;0.04;0.04;0.04;0.04;0.04;0;1;
705;lbm;lbm_struct.h:130-130,main.c:88-88;0.02;0.02;0.02;0.02;0.02;0;1;
566;lbm;lbm_phys.c:56-61;0.02;0.02;0.02;0.02;0.02;0;1;
704;lbm;lbm_struct.h:130-130,main.c:86-86;0.01;0.01;0.01;0.01;0.01;0;1;
553;lbm;lbm_init.c:27-27;0.01;0.01;0.01;0.01;0.01;0;1;
568;lbm;lbm_phys.c:65-66;0;0;0;0;0;0;1;
572;lbm;lbm_phys.c:67-67;0;0;0;0;0;0;1;
706;lbm;main.c:89-89;0;0;0;0;0;0;1;
607;lbm;lbm_phys.c:190-190;0;0;0;0;0;0;1;
625;lbm;lbm_phys.c:53-218,lbm_struct.h:130-130;0;0;0;0;0;0;1;
554;lbm;lbm_init.c:26-26;0;0;0;0;0;0;1;
503;lbm;lbm_init.c:51-52;0;0;0;0;0;0;1;
711;lbm;main.c:84-84;0;0;0;0;0;0;1;
507;lbm;lbm_init.c:51-51;0;0;0;0;0;0;1;
