function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
39;lbm;collision;lbm_phys.c:45-222,lbm_struct.h:130-130;48.34;55.63;55.63;55.63;55.63;0;1;"100,0,0,0,0,0,0,0,0,0";
40;lbm;propagation;lbm_phys.c:225-244,lbm_struct.h:130-130;48.15;55.41;55.41;55.41;55.41;0;1;"100,0,0,0,0,0,0,0,0,0";
38;lbm;special_cells;lbm_phys.c:122-208,lbm_struct.h:130-148;1.69;1.94;1.94;1.94;1.94;0;1;"100,0,0,0,0,0,0,0,0,0";
35;lbm;helper_compute_poiseuille;lbm_phys.c:131-135;0.58;0.67;0.67;0.67;0.67;0;1;"100,0,0,0,0,0,0,0,0,0";
32;lbm;compute_equilibrium_profile;lbm_phys.c:45-99;0.31;0.36;0.36;0.36;0.36;0;1;"100,0,0,0,0,0,0,0,0,0";
25;lbm;setup_init_state_global_poiseuille_profile;lbm_struct.h:130-148,lbm_init.c:42-67;0.3;0.34;0.34;0.34;0.34;0;1;"100,0,0,0,0,0,0,0,0,0";
46;lbm;save_frame;lbm_struct.h:130-130,main.c:77-109;0.26;0.3;0.3;0.3;0.3;0;1;"100,0,0,0,0,0,0,0,0,0";
31;lbm;get_cell_velocity;lbm_phys.c:65-81;0.16;0.18;0.18;0.18;0.18;0;1;"100,0,0,0,0,0,0,0,0,0";
29;lbm;get_vect_norm_2;lbm_phys.c:42-49;0.05;0.05;0.05;0.05;0.05;0;1;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.05;0.05;0.05;0.05;0.05;0;1;"0,0,0,0,100,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;0.02;0.02;0.02;0.02;0.02;0;1;"0,25,0,0,75,0,0,0,0,0";
30;lbm;get_cell_density;lbm_phys.c:52-61;0.02;0.02;0.02;0.02;0.02;0;1;"100,0,0,0,0,0,0,0,0,0";
27;lbm;setup_init_state;lbm_struct.h:148-148,lbm_init.c:25-122;0.02;0.02;0.02;0.02;0.02;0;1;"100,0,0,0,0,0,0,0,0,0";
624;libmpich.so.12.1.8;MPL_shm_seg_remove;;0.01;0.01;0.01;0.01;0.01;0;1;"0,100,0,0,0,0,0,0,0,0";
518;libc-2.31.so;_IO_default_xsputn;;0.01;0.01;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,100,0,0,0";
496;libc-2.31.so;_IO_file_write;;0.01;0.01;0.01;0.01;0.01;0;1;"0,0,0,0,0,0,100,0,0,0";
1016;libc-2.31.so;openat;;0;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
498;libc-2.31.so;_IO_file_xsputn;;0;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
208;libmpich.so.12.1.8;MPI_Alltoallw;;0;0;0;0;0;0;1;"0,100,0,0,0,0,0,0,0,0";
102;libmpich.so.12.1.8;strchr@plt;;0;0;0;0;0;0;1;"0,100,0,0,0,0,0,0,0,0";
12;libmpich.so.12.1.8;close@plt;;0;0;0;0;0;0;1;"0,100,0,0,0,0,0,0,0,0";
0;[vdso];Unknown function;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
