block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
488;lbm;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;7.14;0.08;;;;;;
339;lbm;lbm_phys.c:239-241;1.79;0.02;;;;;;
367;lbm;lbm_phys.c:236-241;1.79;0.02;;;;;;
376;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.34;0.01;;;;;;
375;lbm;lbm_phys.c:236-241;0.89;0.01;;;;;;
382;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.89;0.01;;;;;;
380;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.89;0.01;;;;;;
378;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.89;0.01;;;;;;
381;lbm;lbm_phys.c:236-236;0.45;0;;;;;;
372;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.45;0;;;;;;
370;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.45;0;;;;;;
