function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
44;lu-mz.A.x;buts;buts.f90:4-235;26.74;1.98;;;;;;"100,0,0,0,0,0,0,0,0,0";
42;lu-mz.A.x;blts;blts.f90:4-236;22.69;1.68;;;;;;"100,0,0,0,0,0,0,0,0,0";
37;lu-mz.A.x;rhs_._omp_fn.0;rhs.f90:40-460;18.37;1.36;;;;;;"100,0,0,0,0,0,0,0,0,0";
43;lu-mz.A.x;jacu;jacu.f90:5-355;17.22;1.27;;;;;;"100,0,0,0,0,0,0,0,0,0";
41;lu-mz.A.x;jacld;jacld.f90:5-356;9.59;0.71;;;;;;"100,0,0,0,0,0,0,0,0,0";
256;libgomp.so.1.0.0;omp_get_num_procs;;3.51;0.26;;;;;;"0,0,100,0,0,0,0,0,0,0";
28;lu-mz.A.x;ssor_._omp_fn.0;ssor.f90:37-150;1.01;0.07;;;;;;"100,0,0,0,0,0,0,0,0,0";
23;lu-mz.A.x;exact;exact.f90:4-52;0.2;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
111;libgomp.so.1.0.0;GOMP_barrier;;0.14;0.01;;;;;;"0,0,100,0,0,0,0,0,0,0";
26;lu-mz.A.x;erhs_._omp_fn.0;erhs.f90:41-454;0.14;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.07;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
210;libgomp.so.1.0.0;omp_get_thread_num;;0.07;0;;;;;;"0,0,100,0,0,0,0,0,0,0";
33;lu-mz.A.x;copy_x_face;exch_qbc.f90:134-169;0.07;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
32;lu-mz.A.x;copy_y_face;exch_qbc.f90:96-131;0.07;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
0;lu-mz.A.x;Unknown function;;0.07;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.07;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
