block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
488;lbm;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;12.87;0.11;;;;;;
372;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;3.51;0.03;;;;;;
378;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;2.92;0.02;;;;;;
374;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;2.92;0.02;;;;;;
370;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;2.34;0.02;;;;;;
368;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.75;0.01;;;;;;
367;lbm;lbm_phys.c:236-241;1.17;0.01;;;;;;
373;lbm;lbm_phys.c:236-241;1.17;0.01;;;;;;
375;lbm;lbm_phys.c:236-241;1.17;0.01;;;;;;
377;lbm;lbm_phys.c:236-241;1.17;0.01;;;;;;
382;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.17;0.01;;;;;;
380;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;1.17;0.01;;;;;;
409;lbm;lbm_struct.h:148-148,lbm_phys.c:191-192;0.58;0;;;;;;
379;lbm;lbm_phys.c:236-241;0.58;0;;;;;;
376;lbm;lbm_struct.h:130-130,lbm_phys.c:242-242;0.58;0;;;;;;
