function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
542;libmpich.so.12.1.8;mpirinitf_;;43.2;0.44;;;;;;"0,100,0,0,0,0,0,0,0,0";
9;lbm;propagation._omp_fn.0;lbm_struct.h:130-130,lbm_phys.c:229-242;21.84;0.22;;;;;;"100,0,0,0,0,0,0,0,0,0";
15;lbm;collision._omp_fn.0;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;19.42;0.2;;;;;;"100,0,0,0,0,0,0,0,0,0";
534;libmpich.so.12.1.8;MPIR_Dup_fn;;4.37;0.05;;;;;;"0,100,0,0,0,0,0,0,0,0";
351;libc-2.31.so;psiginfo;;1.94;0.02;;;;;;"0,25,0,0,75,0,0,0,0,0";
718;libc-2.31.so;explicit_bzero;;0.97;0.01;;;;;;"0,0,0,0,0,0,0,0,100,0";
624;libmpich.so.12.1.8;MPL_shm_seg_remove;;0.97;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
588;libc-2.31.so;__libc_malloc;;0.97;0.01;;;;;;"0,0,0,0,0,0,0,0,100,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.97;0.01;;;;;;"0,0,0,0,0,100,0,0,0,0";
205;libgomp.so.1.0.0;GOMP_parallel;;0.97;0.01;;;;;;"0,0,100,0,0,0,0,0,0,0";
8;lbm;setup_init_state;lbm_init.c:25-122,lbm_phys.c:98-145,lbm_struct.h:130-148;0.97;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0.49;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
1453;libc-2.31.so;__sprintf_chk;;0.49;0;;;;;;"0,0,0,0,0,0,0,100,0,0";
1016;libc-2.31.so;openat;;0.49;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
546;libc-2.31.so;_IO_str_pbackfail;;0.49;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
12;libmpich.so.12.1.8;close@plt;;0.49;0;;;;;;"0,100,0,0,0,0,0,0,0,0";
10;lbm;special_cells._omp_fn.0;lbm_struct.h:130-148,lbm_phys.c:123-200;0.49;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
0;ld-2.31.so;Unknown function;;0.49;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
