function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
34;bt-mz.A.x;binvcrhs;solve_subs.f90:206-481;25.04;6.31;;;;;;"100,0,0,0,0,0,0,0,0,0";
33;bt-mz.A.x;matmul_sub;solve_subs.f90:56-199;14.61;3.68;;;;;;"100,0,0,0,0,0,0,0,0,0";
36;bt-mz.A.x;z_solve_._omp_fn.0;z_solve.f90:44-420;14.11;3.55;;;;;;"100,0,0,0,0,0,0,0,0,0";
23;bt-mz.A.x;y_solve_._omp_fn.0;y_solve.f90:44-397;13.75;3.46;;;;;;"100,0,0,0,0,0,0,0,0,0";
21;bt-mz.A.x;x_solve_._omp_fn.0;x_solve.f90:47-398;13.02;3.28;;;;;;"100,0,0,0,0,0,0,0,0,0";
17;bt-mz.A.x;compute_rhs_._omp_fn.0;rhs.f90:30-404;8.77;2.21;;;;;;"100,0,0,0,0,0,0,0,0,0";
542;libmpich.so.12.1.8;mpirinitf_;;4.31;1.08;;;;;;"0,100,0,0,0,0,0,0,0,0";
32;bt-mz.A.x;matvec_sub;solve_subs.f90:27-51;3.37;0.85;;;;;;"100,0,0,0,0,0,0,0,0,0";
11;bt-mz.A.x;lhsinit;initialize.f90:214-248;0.73;0.19;;;;;;"100,0,0,0,0,0,0,0,0,0";
534;libmpich.so.12.1.8;MPIR_Dup_fn;;0.56;0.14;;;;;;"0,100,0,0,0,0,0,0,0,0";
35;bt-mz.A.x;binvrhs;solve_subs.f90:508-639;0.48;0.12;;;;;;"100,0,0,0,0,0,0,0,0,0";
27;bt-mz.A.x;copy_x_face_._omp_fn.0;exch_qbc.f90:246-250;0.26;0.06;;;;;;"100,0,0,0,0,0,0,0,0,0";
38;bt-mz.A.x;add_._omp_fn.0;add.f90:24-29;0.24;0.06;;;;;;"100,0,0,0,0,0,0,0,0,0";
25;bt-mz.A.x;copy_y_face_._omp_fn.0;exch_qbc.f90:207-211;0.18;0.04;;;;;;"100,0,0,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;0.12;0.03;;;;;;"0,0,0,0,0,0,0,0,0,100";
28;bt-mz.A.x;copy_x_face_._omp_fn.1;exch_qbc.f90:257-261;0.12;0.03;;;;;;"100,0,0,0,0,0,0,0,0,0";
12;bt-mz.A.x;exact_solution;exact_solution.f90:24-28;0.1;0.02;;;;;;"100,0,0,0,0,0,0,0,0,0";
13;bt-mz.A.x;exact_rhs_._omp_fn.0;exact_rhs.f90:23-347;0.06;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
205;libgomp.so.1.0.0;GOMP_parallel;;0.04;0.01;;;;;;"0,0,100,0,0,0,0,0,0,0";
9;bt-mz.A.x;initialize_._omp_fn.0;initialize.f90:24-200;0.04;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
1063;libc-2.31.so;__poll;;0.02;0;;;;;;"0,0,0,0,0,0,100,0,0,0";
587;libc-2.31.so;pthread_attr_setschedparam;;0.02;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
240;libgomp.so.1.0.0;omp_in_final;;0.02;0;;;;;;"0,0,100,0,0,0,0,0,0,0";
108;libgomp.so.1.0.0;.text@start;;0.02;0;;;;;;"0,0,100,0,0,0,0,0,0,0";
26;bt-mz.A.x;copy_y_face_._omp_fn.1;exch_qbc.f90:218-222;0.02;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
