loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
99;bt-mz.A.x;y_solve_._omp_fn.0;23;y_solve.f90:144-307;Innermost;3.21;0.34;;;;;;
94;bt-mz.A.x;x_solve_._omp_fn.0;21;x_solve.f90:145-308;Innermost;3.12;0.33;;;;;;
115;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:145-308;Innermost;3.02;0.32;;;;;;
101;bt-mz.A.x;y_solve_._omp_fn.0;23;y_solve.f90:54-136;Innermost;1.25;0.13;;;;;;
116;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:54-136;Innermost;1.2;0.13;;;;;;
58;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:185-229;Innermost;0.96;0.1;;;;;;
96;bt-mz.A.x;x_solve_._omp_fn.0;21;x_solve.f90:56-138;Innermost;0.82;0.09;;;;;;
50;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:295-340;Innermost;0.77;0.08;;;;;;
69;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:80-129;Innermost;0.53;0.06;;;;;;
93;bt-mz.A.x;x_solve_._omp_fn.0;21;x_solve.f90:394-398;Innermost;0.43;0.05;;;;;;
73;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:37-47;Innermost;0.34;0.04;;;;;;
64;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:272-277;Innermost;0.29;0.03;;;;;;
98;bt-mz.A.x;y_solve_._omp_fn.0;23;y_solve.f90:393-397;Innermost;0.29;0.03;;;;;;
112;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:414-420;Innermost;0.24;0.03;;;;;;
111;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:51-420;Outermost;0.24;0.03;;;;;;
72;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:64-64;Innermost;0.19;0.02;;;;;;
56;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:383-388;Innermost;0.19;0.02;;;;;;
92;bt-mz.A.x;x_solve_._omp_fn.0;21;x_solve.f90:53-398;Outermost;0.19;0.02;;;;;;
68;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:149-154;Innermost;0.1;0.01;;;;;;
67;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:62-169;Outermost;0.05;0.01;;;;;;
60;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:182-277;InBetween;0.05;0.01;;;;;;
8;bt-mz.A.x;bt_mz;7;bt.f90:215-222;Innermost;0.05;0.01;;;;;;
53;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:356-360;Innermost;0.05;0.01;;;;;;
114;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:313-313;Innermost;0.05;0.01;;;;;;
100;bt-mz.A.x;y_solve_._omp_fn.0;23;y_solve.f90:336-359;Innermost;0.05;0.01;;;;;;
51;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:347-351;Innermost;0.05;0.01;;;;;;
119;bt-mz.A.x;add_._omp_fn.0;38;add.f90:29-29;Innermost;0.05;0.01;;;;;;
97;bt-mz.A.x;y_solve_._omp_fn.0;23;y_solve.f90:51-397;Outermost;0.05;0.01;;;;;;
48;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:402-404;Innermost;0.05;0.01;;;;;;
