block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
628;lbm;lbm_phys.c:45-217;47.66;54.93;54.93;54.93;54.93;0;1;
654;lbm;lbm_phys.c:232-239,lbm_struct.h:130-130;21.77;25.09;25.09;25.09;25.09;0;1;
664;lbm;lbm_phys.c:235-239,lbm_struct.h:130-130;3.9;4.49;4.49;4.49;4.49;0;1;
667;lbm;lbm_phys.c:235-239,lbm_struct.h:130-130;3.73;4.3;4.29;4.29;4.29;0;1;
668;lbm;lbm_phys.c:228-239,lbm_struct.h:130-130;3.72;4.29;4.29;4.29;4.29;0;1;
665;lbm;lbm_phys.c:238-239,lbm_struct.h:130-130;3.61;4.17;4.17;4.17;4.17;0;1;
662;lbm;lbm_phys.c:235-239,lbm_struct.h:130-130;3.48;4.01;4.01;4.01;4.01;0;1;
661;lbm;lbm_phys.c:238-239,lbm_struct.h:130-130;2.77;3.19;3.19;3.19;3.19;0;1;
655;lbm;lbm_phys.c:235-239,lbm_struct.h:130-130;2.03;2.34;2.34;2.34;2.34;0;1;
658;lbm;lbm_phys.c:238-239,lbm_struct.h:130-130;1.13;1.3;1.3;1.3;1.3;0;1;
600;lbm;lbm_phys.c:191-191,lbm_struct.h:148-148;1.1;1.26;1.26;1.26;1.26;0;1;
630;lbm;lbm_phys.c:53-53,lbm_struct.h:130-130;0.71;0.82;0.82;0.82;0.82;0;1;
590;lbm;lbm_phys.c:131-135;0.55;0.63;0.63;0.63;0.63;0;1;
637;lbm;lbm_phys.c:228-235;0.39;0.45;0.45;0.45;0.45;0;1;
577;lbm;lbm_phys.c:45-99;0.39;0.45;0.45;0.45;0.45;0;1;
606;lbm;lbm_phys.c:190-190;0.27;0.31;0.31;0.31;0.31;0;1;
666;lbm;lbm_phys.c:236-236;0.27;0.31;0.31;0.31;0.31;0;1;
657;lbm;lbm_phys.c:232-235;0.23;0.27;0.27;0.27;0.27;0;1;
643;lbm;lbm_phys.c:236-236;0.2;0.23;0.23;0.23;0.23;0;1;
659;lbm;lbm_phys.c:236-236;0.17;0.2;0.2;0.2;0.2;0;1;
707;lbm;main.c:89-95;0.17;0.19;0.19;0.19;0.19;0;1;
604;lbm;lbm_phys.c:191-191;0.16;0.18;0.18;0.18;0.18;0;1;
663;lbm;lbm_phys.c:235-235;0.14;0.16;0.16;0.16;0.16;0;1;
609;lbm;lbm_phys.c:191-191;0.13;0.15;0.15;0.15;0.15;0;1;
645;lbm;lbm_phys.c:236-236;0.12;0.14;0.14;0.14;0.14;0;1;
505;lbm;lbm_struct.h:130-130,lbm_init.c:52-56;0.12;0.14;0.14;0.14;0.14;0;1;
652;lbm;lbm_phys.c:236-236;0.12;0.14;0.13;0.13;0.13;0;1;
506;lbm;lbm_struct.h:148-148,lbm_init.c:52-58;0.1;0.12;0.12;0.12;0.12;0;1;
573;lbm;lbm_phys.c:75-81;0.1;0.11;0.11;0.11;0.11;0;1;
641;lbm;lbm_phys.c:236-236;0.1;0.11;0.11;0.11;0.11;0;1;
656;lbm;lbm_phys.c:235-235;0.09;0.1;0.1;0.1;0.1;0;1;
562;lbm;lbm_phys.c:42-49;0.08;0.09;0.09;0.09;0.09;0;1;
660;lbm;lbm_phys.c:235-235;0.07;0.07;0.08;0.08;0.08;0;1;
624;lbm;lbm_phys.c:216-216;0.06;0.06;0.06;0.06;0.06;0;1;
605;lbm;lbm_phys.c:122-128,lbm_struct.h:130-130;0.05;0.06;0.06;0.06;0.06;0;1;
566;lbm;lbm_phys.c:56-61;0.05;0.06;0.06;0.06;0.06;0;1;
704;lbm;lbm_struct.h:130-130,main.c:86-86;0.02;0.03;0.02;0.02;0.02;0;1;
705;lbm;lbm_struct.h:130-130,main.c:88-88;0.02;0.03;0.02;0.02;0.02;0;1;
504;lbm;lbm_init.c:54-54;0.02;0.02;0.02;0.02;0.02;0;1;
568;lbm;lbm_phys.c:65-66;0.01;0.01;0.01;0.01;0.01;0;1;
572;lbm;lbm_phys.c:67-67;0.01;0.01;0.01;0.01;0.01;0;1;
553;lbm;lbm_init.c:27-27;0.01;0.01;0.01;0.01;0.01;0;1;
711;lbm;main.c:84-84;0.01;0.01;0.01;0.01;0.01;0;1;
507;lbm;lbm_init.c:51-51;0.01;0.01;0.01;0.01;0.01;0;1;
564;lbm;lbm_phys.c:52-53;0;0;0;0;0;0;1;
292;lbm;lbm_comm.c:247-249;0;0;0;0;0;0;1;
706;lbm;main.c:89-89;0;0;0;0;0;0;1;
636;lbm;lbm_phys.c:228-233;0;0;0;0;0;0;1;
607;lbm;lbm_phys.c:190-190;0;0;0;0;0;0;1;
625;lbm;lbm_phys.c:53-218,lbm_struct.h:130-130;0;0;0;0;0;0;1;
554;lbm;lbm_init.c:26-26;0;0;0;0;0;0;1;
