loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
15;lbm;propagation._omp_fn.0;9;lbm_struct.h:130-130,lbm_phys.c:236-242;Innermost;32.78;0.53;0.4;0.51;0.57;2.6685752868652;8;
23;lbm;collision._omp_fn.0;15;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,lbm_phys.c:47-219;Innermost;30.15;0.49;0.38;0.47;0.53;2.6867341995239;8;
16;lbm;special_cells._omp_fn.0;10;lbm_struct.h:130-148,lbm_phys.c:123-200;Innermost;1.23;0.02;0;0.02;0.04;0.77969735860825;8;
14;lbm;propagation._omp_fn.0;9;lbm_struct.h:130-130,lbm_phys.c:233-242;InBetween;0.88;0.01;0;0.01;0.03;0.47609433531761;8;
12;lbm;setup_init_state;8;lbm_init.c:51-58,lbm_phys.c:98-145,lbm_struct.h:130-148;Innermost;0.68;0.01;0;0.01;0.01;0.24638572335243;8;
21;lbm;save_frame;13;lbm_struct.h:130-130,avx512fintrin.h:5852-15884,avxintrin.h:513-513,main.c:84-98,lbm_phys.c:39-59;Innermost;0.52;0.01;0.06;0.06;0.06;0;1;
2;lbm;main;1;lbm_struct.h:139-139,main.c:114-211,lbm_comm.c:150-264,lbm_phys.c:187-229;Innermost;0.08;0;0;0;0;0.053415883332491;2;
6;lbm;setup_init_state;8;lbm_init.c:26-30,lbm_struct.h:148-148;Innermost;0.04;0;0;0;0;0;1;
13;lbm;propagation._omp_fn.0;9;lbm_struct.h:130-130,lbm_phys.c:233-242;Outermost;0.04;0;0;0;0;0;1;
